line,recipe id,hits,title,story,ingredients,steps
1000,734803,,"[70040, 69428, 69396]",[],"[72591, 75417, 72452, 74303, 72423, 69207, 71171]","[69534, 71598, 70818, 71171, 73872, 70040, 69462, 69328, 75417, 72452, 74303, 73872, 72423, 69207, 69396, 73872, 75396, 73703, 73872, 69207, 69534, 90186, 69334, 76591, 69391, 71413, 88229, 72452, 73810, 69529]"
1000,1781514,,"[69396, 70879, 70963, 74392, 88750, 75276]","[70254, 70879, 69311, 69396, 69680, 69207, 71303]","[69396, 90198, 90198, 72589, 70681, 70020, 69827, 72667, 73872, 73919, 73918, 71640, 69584, 69386, 71640, 70036, 74288, 71640, 69575, 69207]","[70577, 69328, 69396, 72589, 70681, 72783, 70020, 69827, 72667, 73872, 73919, 73918, 73872, 69207, 69225, 72783, 69584, 69715, 69225, 75130, 69386, 69827, 70034, 73872, 69703, 71640, 69575, 73872, 69207, 71817, 73872, 75396, 69856, 69225, 72783, 69584, 69715, 70879, 70020, 69715, 69207, 73872, 71817, 73919, 69207, 70620, 70074]"
1000,1176459,,"[70338, 69604, 69396]","[70733, 75396, 74122, 73919, 93779, 69737, 73703, 72081, 74640, 88229]","[70733, 69604, 72667, 69783, 71723, 70338, 69211, 70034, 69827, 72081, 69530]","[69396, 69783, 73872, 69530, 69604, 73872, 72667, 73872, 72000, 69827, 73872, 70577, 72783, 69584, 73872, 74122, 73872]"
1000,435325,,"[69199, 69720, 69396]",[],"[71598, 69720, 70020, 69720, 73384, 69765, 86199, 71848, 69260]","[69609, 71598, 73384, 75130, 69715, 69226, 69720, 70020, 69720, 69765, 73872, 71848, 70577, 72355, 69260, 69260, 70577, 72355, 69260, 69720, 73872, 75130, 69715, 72355, 75130, 69715, 73384, 69720, 72355, 75130, 69715, 69225, 73872, 70073, 75130, 69715, 91308, 69226, 88510, 69720, 73872, 69584, 69715, 75396, 69228, 69396, 71933, 69207, 69323, 69241]"
1000,542956,,[75880],[],"[75306, 71723, 71309, 90197, 69386, 69737, 72159, 69609, 86478]",[]
1000,1799169,,"[69228, 69396, 73872]",[],"[71598, 69609, 93779, 69495, 69609, 72718, 71037, 72563, 90198, 69827, 71227, 72452, 69287, 71384, 70179, 72718, 75926, 69396]","[69228, 69715, 73872, 69534, 69715, 69609, 69495, 69715, 69534, 72718, 69715, 69386, 72563, 69827, 73872, 69693, 69654, 69614, 70179, 72718, 73770, 69495, 75926, 69396]"
1000,1817305,,"[69213, 90752, 75966, 69334, 73872, 72386]",,[],[]
1000,1844924,,"[71393, 69275, 69274]",[],[],[]
1000,664639,,[70725],"[70725, 70557, 69348]","[69865, 69555, 73703, 69604, 70557, 69348, 71598, 69265, 72774, 69584, 71933, 70283, 90197]","[71803, 71598, 73872, 69609, 70577, 69693, 69396, 69584, 70557, 70115, 69265, 73872, 72774, 74916, 69396, 69693, 70577, 69609, 69555, 73872, 69604, 70557, 69348, 73872, 91308, 69555, 69396, 69783, 70557, 69348, 69391, 70940, 69348, 70577, 69391]"
1000,1808366,,"[70040, 73252]",[],"[71598, 71303, 73810, 71037, 93777, 72563, 69577, 69343, 70618, 69343, 69287, 91300, 69230, 69534, 73446, 90198, 69827, 69497, 69348, 72360]","[76591, 73872, 71598, 76591, 73872, 75741, 69287, 91300, 69230, 73872, 70618, 69343, 71598, 73872, 70040, 71303, 71598, 69765, 90197, 70115, 91308, 69287, 70115, 70040, 69386, 72563, 69827, 69497, 71309, 73872, 71803, 69497, 69348, 69396, 73703, 73872, 73872, 69207, 69343, 73872, 69577, 69343, 70618, 73446, 69287, 70751, 70115, 69343, 73872, 69343]"
1000,1895021,,"[76194, 69396, 76130]",[],"[71598, 74228, 73703, 69343, 93779, 74374, 70895, 91300, 69447, 70865, 70014, 69652, 72174, 69446, 70115, 71626, 90197, 69765, 73872, 90197]",[]
1000,1900740,,,,[],[]
1000,1896877,,"[69396, 69248]","[69396, 69248, 69396, 74702, 88877, 69358]","[71598, 86478, 71309, 69765, 69827, 71640, 71434, 69386, 70695, 69951, 90198, 69756, 71039, 69584, 69241, 75396, 69609, 72718, 74014, 75396, 69986, 69765, 69827, 72145, 69207, 75419, 70385, 70385]","[69396, 69248, 73872, 71309, 69606, 71803, 69396, 73872, 86478, 73872, 69396, 69241, 73872, 70115, 71803, 70385, 73872, 69584, 69396, 69248, 71470]"
1000,1896131,,"[69396, 71123]","[89951, 69287, 69529, 89951]","[69207, 71598, 69287, 70115, 71123, 69348, 72894, 69343]","[75396, 73872, 69396, 69228, 88510, 73872, 69348, 72783, 72783, 73872, 70405, 69207, 72894, 69343, 73440, 69396, 69348, 75396, 69348, 88510, 69348, 91308, 88510, 69207, 73872, 72232, 73872, 69228]"
1000,1895268,,"[69396, 70557, 69348]","[69396, 69534]","[70557, 69348, 69396, 69534, 73440, 69827, 73872, 69386, 73440, 69662, 69396, 69534, 73872]",[88229]
1000,1891423,,"[73921, 69228, 69228, 69396, 75661, 73872, 71461]",[89949],[],[]
1000,1845733,,[72148],[],"[69402, 69260, 71415, 69765, 73872, 90197, 71370, 70470, 90197, 69827, 90197, 73446, 69576, 69654, 69334, 69575, 69649, 70866, 71598]","[69402, 73872, 71640, 69343, 73740, 70988, 69260, 70577, 73872, 71415, 71370, 70470, 90197, 69765, 69827, 90197, 73446, 69576, 73872, 90197, 69396, 69260, 73872, 69396, 69402, 73872, 69343, 72148, 69226, 72148, 73440, 69649, 73872, 70866, 69334, 73872, 69575]"
1000,1885813,,"[69488, 69396, 73872, 75501, 69497]","[69323, 69497, 90228, 69497, 88877, 73872, 88229, 69497, 69488, 73872, 70864, 69343, 75371, 89951, 69315]","[71598, 69497, 75501, 69827, 72050, 69488, 69207, 71969, 73827, 69765, 75143, 71309, 93779, 90197]","[69225, 74325, 73872, 72050, 75501, 93777, 69715, 69534, 69396, 69765, 73872, 90197, 69396, 73872, 69715, 73872, 73583, 69497, 74325, 71309, 73872, 71803, 69225, 69497, 69497, 69497, 69328, 69488, 69207, 71969, 69827, 73872, 73827, 69856, 71309, 70864, 70818, 69765, 69497, 69396, 73872, 75501, 74325, 69207, 75396, 74325, 93779, 90197, 69207]"
1000,1884809,,[71393],[],"[70733, 69260, 72974, 69584]","[74916, 70733, 72974, 70229, 75764, 69396, 69260, 73872, 73872, 69623, 73872, 69226, 74014, 73872, 73322]"
1000,1879928,,"[69396, 70801]","[91308, 73872, 69366, 69315, 73872, 73872, 73872, 73810, 69300, 69386, 69772, 73918, 69575, 91308, 69396]","[69396, 76104, 69391, 69386, 69772, 73919, 73918, 70439, 69737, 72667, 73872, 69827, 72050, 69765, 73872, 90197]","[69386, 73872, 73919, 73872, 76104, 69225, 69584, 69715, 69827, 72667, 73872, 69737, 69396, 69715, 73872, 69765, 69396, 73872, 69226, 73317, 69715, 72008, 69772, 73872, 70034, 73872, 69225, 69575, 70801, 70577, 73872, 69396, 69715, 70801, 73872, 69225, 75396, 69396, 69497, 71723, 69396, 73872, 73919, 69348, 69334, 70940, 69315]"
1000,1883935,,[73495],"[73495, 69429, 91308, 69428, 75621, 69948, 69948, 70578, 73872, 75240, 73495, 69429, 72999]","[69396, 75741, 69604, 69765, 90197, 75533, 69207, 71723, 71002, 69265, 69827]","[75621, 69948, 88510, 73317, 71309, 91308, 69609, 69396, 73872, 69609, 75741, 69604, 69396, 73872, 69604, 69948, 69328, 75533, 69207, 72514, 73872, 71803, 69207, 71470, 69225, 69428, 69534, 69948, 69765, 73872, 90197, 73872, 69948, 69948, 69207]"
1000,1882999,,"[73285, 69556, 69664, 71598]",[88229],"[71598, 69482, 71834, 72050, 73285, 69343, 69664]","[73583, 69386, 69482, 73378, 72050, 73381, 71598, 73285, 69343, 76591, 69664, 69228]"
1000,1872173,,"[73832, 69446, 69737, 69249, 70040]","[75396, 69394, 70073, 69394, 75396, 70040, 69396, 69247, 73703, 75928]","[73770, 74705, 73770, 69396, 69446, 70115, 69737, 69243, 69737, 69243, 69515, 75926, 69575, 71598, 69609, 73918, 72174, 73703, 69343, 69386, 90198, 69827, 90197, 69402, 69300, 74705, 69402, 69334, 69447]","[70040, 73872, 69396, 69248, 73872, 70577, 73872, 70865, 73918, 72174, 73918, 69343, 69248, 75396, 74705, 73770, 69396, 69446, 70115, 69446, 70115, 69446, 73872, 69446, 70115, 73770, 75396, 69334, 70577, 69334, 73872, 73437, 73918, 72174, 73872, 69343, 73872, 69334]"
1000,1881440,,"[69394, 75498, 71487, 69396]","[88229, 73872, 71487, 70205, 73515, 69534, 73872, 75396, 69225, 69225, 69708, 75387, 71487, 70205, 70073]","[73872, 75950, 75498, 72783, 71487, 70205, 71865, 71723, 90198, 76091, 76091, 75396, 72783, 90198, 69827, 72783, 90198, 69386, 69604, 71640, 71640, 73918, 73918, 69584, 75168]","[69328, 69462, 73872, 73872, 73872, 73872, 74916, 73515, 69396, 69783, 75396, 73872, 74916, 73872, 86088, 69226, 69226, 69396, 69783, 86088, 69783, 69396, 73872, 86088, 69267, 69394, 73872, 71906, 73212, 88229]"
1000,1813549,,"[71598, 69391]","[88510, 69391]","[71598, 75172, 70465, 70743, 75143, 69575, 69260, 69780, 72050]","[73872, 70465, 72050, 74325, 73872, 69225, 69534, 69396, 73872, 73378, 73872, 73872]"
1000,1870906,,"[69429, 70483, 76077, 69396]",[69334],"[72050, 71214, 69827, 72000, 71640, 70743, 71370, 75143, 73827, 86199, 70751, 69265, 70483, 76077, 75396, 73999, 76368, 75396, 75950, 72009]","[73921, 69783, 88229, 75396, 74916, 73872, 69396, 69429, 69783, 70483, 76077, 69857, 69396, 69396, 73872, 69783, 73872, 74916, 69534, 69429, 91308, 91308, 69226, 75396, 69228, 73872, 73381, 69772, 73872, 69765]"
1000,1880438,,"[69213, 71598, 71906, 73332, 69207, 69260, 75795]",[],"[69827, 72000, 72667, 73440, 69575, 69857, 73440, 69617, 69267, 69737, 69207, 73440, 69737, 73440, 70863, 73440, 69482]","[71598, 72589, 73655, 72386, 73440, 69213, 71906, 73332, 69207, 73440, 72232, 72589, 73655, 69482, 69827, 72667, 69737, 69617, 69267, 69737, 69207, 69213, 71906, 73332, 69260, 75795, 88229, 69213, 88229]"
1000,1879391,,"[69396, 70543, 69391]","[69231, 69315, 88229, 69231, 69396, 88229, 71307, 70383, 69396]","[69391, 73191, 71933, 93779, 90197, 69396, 69827, 69765, 71555, 69604, 71640, 76091, 71640, 70543]","[69396, 71598, 71309, 69396, 71309, 73703, 73872, 69715, 75130, 72050, 69604, 73872, 76091, 69396, 69680, 69391, 73191, 69609, 71933, 69609, 70543, 73872, 73703, 69396, 70577, 72050, 72145]"
1000,1878523,,"[69396, 69467]","[69396, 69467, 70578, 69334, 88510, 70582, 75396, 73520, 70747, 69482, 71267, 69210, 69482, 75396]","[69213, 69333, 69334, 70733, 69765, 72386, 70582, 71723, 70338, 71309, 70121, 70116, 69249, 71039, 72714]","[69609, 69396, 69765, 73872, 72386, 73872, 69249, 70582, 71723, 73872, 71309, 75396, 70121, 70116, 71309, 72847, 69334, 71309, 73872, 71309, 71309, 69334, 73872, 69880, 69248, 69396, 73872, 69249, 69609, 73872, 70405, 69334, 73872, 69334, 75966, 70338, 73872, 73872, 72714, 73872, 71039, 73872]"
