line,recipe id,hits,title,story,ingredients,steps
1,143036,0,"[74673, 70319, 69364]","[74673, 70319, 69266, 70578, 73872, 73872, 70577, 69225, 71374, 72742, 71374, 73872, 88229]","[70241, 71374, 69650, 69265, 70865, 70352, 76603, 70993, 70319, 72798, 69260, 69265, 71415, 71684]","[76591, 71660, 88510, 71374, 72783, 71309, 70865, 69265, 69650, 73872, 70352, 70577, 70352, 69200, 72847, 73872, 69566, 88510, 73872, 74640, 74640, 69225, 71374, 69650, 73872, 69566, 70865, 70352, 73872, 75017, 70352, 70352, 73872, 70110, 73515, 70319, 69260, 69265, 71415, 71684, 73872, 70020, 73872, 90228, 73872, 69225, 72783, 69584, 69715, 73872, 69715, 69715, 73872, 69715, 70405, 70073, 69225, 70319, 76591, 73872, 70241, 73872, 69609, 69609, 69225, 69610, 72589, 71309, 73872, 76591, 70241, 70319, 70110]"
1,143087,0,"[70332, 69195]","[69229, 69229, 69229, 73982, 76314, 75396, 69229, 73381, 75396, 72081, 73872, 88229]","[76314, 69260, 71415, 74708, 72783, 76166]","[69226, 69260, 70577, 74708, 73872, 71415, 73872, 69609, 76314, 73872, 70577, 69260, 69608, 73872, 73657, 72622, 76166, 69228, 69265]"
1,143148,0,[69495],"[69458, 88229, 69765, 73872, 90197, 88229, 69380, 69495, 88513, 73872, 69495, 71684, 69654, 75847, 88229]","[69495, 69654, 69649]","[69611, 69495, 69610, 71309, 69654, 69715, 70405, 69495, 73872, 75017, 73872, 75130, 69225, 69654, 73872, 75130, 73872, 69495, 69680, 73872, 72081, 69765, 73872, 90197, 75130, 69654, 73872, 69765, 73872, 69534, 70056, 76352, 69260, 73872, 69765, 76352, 69260, 69495, 69495, 73872, 69649]"
1,143261,0,"[70578, 72951, 73982]","[72951, 69265, 69911, 73872, 74132, 69265, 72951, 88229]","[69229, 72951, 71415, 69265, 69654, 76154]","[69609, 69229, 70578, 70577, 73872, 69229, 69654, 69715, 73872, 69229, 69229]"
1,143321,0,"[74577, 73872, 69267, 73982]","[88510, 73982, 75396, 88229, 74577, 73872, 73982, 69911, 75396, 69265, 69715, 75396, 69429, 75396, 69654, 88229]","[69316, 69229, 69260, 71415, 72783, 69265, 69654, 71669, 74123]","[69328, 70577, 73872, 69229, 69225, 69715, 73872, 69654, 69429, 69229, 69225, 69260, 69229, 69654, 73872, 69429, 73872, 74123, 71669]"
1,143917,0,"[69486, 70319]","[69486, 70127, 69316, 71130, 73872, 69720, 69267, 75396, 72753, 74145, 73872, 69343, 70319, 88877, 71309, 73872, 88229]","[76370, 71309]","[76370, 70577, 71309, 73872, 73872, 70681, 73872, 70183, 69225, 69715, 69225, 76370, 73872, 75741, 70319, 70073, 70405, 71130, 70319, 73703, 69720, 73872]"
1,143992,0,"[69267, 73982, 70205, 69316]","[69267, 69267, 69911, 76171, 69609, 69229, 88229, 73982, 70205, 88229, 73982, 69260, 69265, 71669, 88229]","[69229, 69260, 71415, 71669, 70205, 76154, 69654]","[73381, 69229, 88877, 70205, 86094, 69229, 70073, 69225, 76154, 69654, 69715, 73872, 69911, 70073, 73872]"
1,144035,0,"[70578, 70004, 70319]","[73872, 69343, 90186, 73872, 69225, 73872, 75396, 71669, 69987, 74073, 88229]","[71415, 69260, 76154, 69654, 69987, 74073, 74123]","[71415, 73872, 69260, 73872, 69584, 69715, 73872, 69608, 70073, 70319, 73872, 76154, 73872, 74073, 70319, 76154, 74073, 73872, 74123, 73872]"
1,144250,0,"[75847, 73982]","[73982, 93704, 93692, 69229, 91308, 70578, 69654, 73872, 74155, 72081, 73872, 69229, 76166, 74155, 69654, 69267, 69265, 76314, 69229, 88229]","[69654, 71415, 69260, 73267, 69584, 69654, 71684, 70057, 76166]","[69260, 73872, 71415, 73872, 73267, 69584, 69609, 69654, 73872, 69225, 69654, 73872, 71684, 69715, 73872, 69229, 69260, 69229, 69225, 73872, 72783, 69265, 91308, 69715, 70405, 73872, 73381, 69229, 73381, 69229, 69265, 73872, 75396, 69265, 74155, 74155, 69229, 70073, 69715, 74155, 69265, 69229, 69229, 70073, 69229, 69680, 75396, 69654, 73872, 74708, 75396, 74155, 70073, 91308, 88878, 74708]"
1,144404,0,"[69380, 69266, 76194, 73982]","[69343, 73872, 69229, 69229, 69609, 69229, 88229]","[69229, 69343, 69260, 71415, 71309, 76166, 69265, 69654, 76166]","[69609, 69229, 73872, 69343, 69260, 71415, 73872, 69265, 69229, 73872, 69654, 69715, 73872, 69229, 75130, 70073, 70940, 69260, 69229, 73872, 75130, 69265, 73872]"
1,144547,0,"[73982, 75396, 76171]","[75396, 91308, 70578, 69229, 75396, 73982, 69229, 75396, 69260, 69229, 69229, 88229]","[69260, 69265, 71415, 76154, 69654]","[69260, 70577, 69265, 73872, 69265, 71415, 73872, 69609, 69229, 73381, 69229, 70577, 69260, 72783, 76154, 69715, 73872, 69225, 69654, 69229, 69715, 73872, 75130, 69680, 76154, 75396, 76154]"
1,144610,0,"[73025, 69286, 73872, 74036, 69410]","[73872, 70319, 69410, 70319, 69410, 75396, 69410, 69410, 73872, 70405, 70865, 70405, 88229]","[70319, 72798, 75674, 69260, 69265, 71415, 70865, 69251, 73025, 69286, 73872, 75396, 74036, 69318, 72798, 74302, 69265, 71415, 69650, 73267, 69584, 70865, 70865, 69265]","[70319, 69654, 73872, 69265, 70577, 73872, 69260, 70577, 70020, 73872, 71415, 73872, 70865, 70577, 73872, 70182, 73872, 73515, 91308, 69318, 70865, 70020, 74302, 73872, 69265, 69225, 70577, 71415, 73872, 69650, 70577, 74640, 73872, 73872, 73267, 69584, 73872, 73872, 73515, 70319, 69225, 69715, 69225, 69715, 69225, 69715, 69715, 70405, 73872, 70319, 70073, 69715, 73872, 70319, 69609, 69251, 73381, 73025, 69286, 73872, 74036, 70865, 69328, 70865, 73872, 69265, 70577, 73872, 69318, 70865, 70865, 73317, 69318, 70865, 70988, 70319, 70405, 69318, 70865, 73872, 69251, 73872, 73515, 75396, 73381]"
1,144677,0,"[69708, 73982]","[69708, 69911, 69911, 72783, 71415, 71351, 69229, 69911, 72081, 71415, 71351, 73872, 76314, 69229, 88229]","[69229, 91308, 69708, 71351, 69260, 72783, 69265, 69654, 74123, 74122, 73985]","[71351, 69260, 73872, 69265, 71351, 73872, 69609, 69229, 73872, 69654, 69715, 73872, 69229, 69229, 74123, 69929, 70183, 73872, 74122, 73985]"
1,144820,0,[69380],"[71307, 73810, 88229, 73712, 71039, 73872, 69604, 88229, 88877, 73872, 90228, 88229]","[70020, 71309, 69765, 69265, 75396, 73440, 71039, 71640, 69604, 70056, 69260, 69765, 69604, 69604, 70056, 69343, 69402, 69232, 69241, 71723]","[69328, 69225, 69584, 74325, 70405, 73872, 73872, 70073, 74325, 73872, 74325, 69260, 69260, 69260, 73872, 70056, 73872, 69604, 73872, 69343, 69260, 69207, 71723, 73872, 69827, 70405, 74325, 70319, 71307, 69267, 73872, 69394, 69207, 73872, 72512, 72512, 71817, 69232, 71307, 69260, 69604, 72512, 69283, 69229, 70427, 71307, 71307, 69260, 73712, 71307, 73712, 69267]"
1,145065,0,"[69929, 69534, 73982]","[73982, 71415, 69929, 69502, 73872, 73982, 73872, 88229, 69534, 73872, 69929, 88229]","[69229, 71415, 75789, 69265, 69260, 69265, 76166, 70429]","[71415, 73872, 69265, 73872, 74640, 69609, 69229, 69260, 71415, 73872, 69265, 69929, 73872, 69929, 73872, 73872, 73440, 69260, 71415, 73872, 69265, 69229, 69229, 75396, 69715, 69654, 69225, 73872, 69225, 70073, 76166, 74073, 71669, 70429, 73872]"
1,145211,0,"[88763, 71307, 70238, 69383]","[88510, 71307, 89949, 70747, 70238, 70747, 70238, 73872, 72081, 72081, 73872, 73872, 88513, 88229]","[70238, 88763, 69260, 69604, 71309, 69765, 90197, 69207, 69575, 69649, 76118, 69267, 69737, 69207, 74281, 69207]","[69328, 73872, 90198, 69604, 69260, 73872, 69609, 93777, 69584, 69715, 73872, 69225, 70238, 70238, 69260, 73872, 93777, 73872, 75966, 69225, 73872, 75966, 73872, 70073, 72081, 69609, 73872, 73872, 69207]"
1,145291,0,"[71415, 73982]","[73982, 69267, 73872, 70033, 70205, 71487, 75387, 73872, 73025, 88229]","[71415, 69265, 69987, 74073, 69654, 76154]","[69265, 71415, 69609, 73381, 69229, 73872, 75396, 90228, 69260, 69229, 69225, 69715, 69654, 73872, 69911, 69229, 69987, 74073, 70073, 69911, 73872, 75396, 73982, 71669, 76166, 70205, 69208, 69911, 70073, 70056, 69680]"
1,145366,0,"[74060, 74910, 70319]","[70319, 73872, 88877, 70319, 70578, 73872, 70578, 88229, 70182, 90228, 70179, 69715, 69715, 69225, 69715, 70578, 89951, 88229]","[72798, 69265, 69765, 69260, 71415, 73267, 69584, 71684, 69654, 69410, 70061]","[69328, 72798, 69265, 73872, 69765, 73872, 70061, 70577, 70988, 69260, 73872, 71415, 71415, 71684, 73872, 73267, 69584, 73872, 69680, 73872, 69680, 70183, 69225, 69715, 70179, 69715, 73872, 70405, 69715, 69584, 73872, 73872, 70319, 73872, 70405, 70319, 70056, 73872, 70578, 69410, 74073, 73872, 74123, 70254, 70865, 69566, 73872, 70387, 74060, 74910, 73872, 70865, 73872, 70387, 69410, 70865, 73872, 70387, 69715, 70886, 70865, 69410]"
1,145396,0,"[74577, 73982, 69371, 69229]","[73982, 91308, 70578, 88229, 69680, 73872, 74577, 75130, 75396, 69260, 73381, 69229, 75396, 88229]","[69371, 69229, 69260, 71415, 69265]","[69260, 71415, 73872, 69265, 70577, 70352, 73872, 69609, 69371, 69229, 69948, 69673, 69260, 69673, 69229, 69260, 69229, 69229, 75017, 70073, 75130, 73872, 88877, 69229, 69623, 75396, 75396, 75017, 75396, 73982, 69260, 69229]"
1,145456,0,[73982],"[69229, 69260, 74640, 69265, 88229, 69343]","[69229, 75741, 71415, 69260, 72783, 69265, 86098, 69654]","[69609, 69229, 70577, 69229, 73381, 88877, 69328, 69816, 69229, 73381, 70073, 74640, 88877, 69229, 73381, 73872, 74640, 69654, 69715, 69911, 69229, 73381, 69225, 70073]"
1,145507,0,"[72210, 73982]","[72210, 88229, 72210, 70865, 69229, 88229]","[72210, 71415, 69260, 69265, 73267, 72054, 69654, 69229]","[75396, 70865, 71415, 70198, 69495, 73872, 69609, 88510, 71309, 76591, 76591, 73872, 69225, 74640, 69495, 69265, 69260, 71415, 73872, 73267, 69609, 69229, 73381, 73872, 69495, 70865, 69229, 69229, 70865, 69225, 69715, 73872, 69654, 75130, 69229, 69225, 73872, 72081, 72054, 70429]"
1,145516,0,[73982],"[73982, 69380, 69265, 73872, 71415, 69267, 73982, 69584, 69715, 69229, 73872, 73921, 88229]","[69229, 69260, 69265, 71415, 69654, 76154, 74708]","[69260, 69265, 73872, 71415, 73872, 88229, 73381, 69229, 70073, 69225, 69584, 69715, 73872, 69229, 69225, 70073, 73872, 75130, 70073, 70073, 70405, 69654, 73872, 74708, 71669]"
1,145536,0,"[74577, 73982]","[69229, 70254, 69380, 91308, 69911, 69225, 73982, 88229]","[69229, 71415, 69260, 69265, 76154, 86098]","[73381, 69229, 69260, 71415, 69265, 76154, 73872, 86098, 69328, 69260, 69265, 73872, 71415, 70577, 70988, 73267, 69680, 70182, 69260, 70183, 75396, 69260, 69609, 69229, 73381, 73872, 69260, 73381, 69260, 69654, 69715, 69225, 70405, 69654, 69715, 69229, 73381, 69715, 69225, 70073, 69229, 74123, 73872, 74708, 73872]"
1,145611,0,"[74640, 69575, 69343, 69383, 69260]","[73872, 70578, 74640, 88229, 88229, 74577, 69334, 69383, 74640, 72187, 88510, 71415, 69260, 74577, 73872, 74640, 88229]","[69260, 69575, 69343, 73440, 71415, 69765, 73872, 90197]","[69260, 71415, 69765, 73872, 90197, 69609, 76104, 88510, 76591, 69260, 73872, 69575, 73872, 69343, 74640, 73872, 69260, 74640, 70198, 76591, 73872, 69383, 69649, 69260, 88510]"
1,145690,0,[73982],"[69267, 89951, 88229]","[69229, 69260, 69265, 71415, 69654, 76154, 74708, 74123]","[69609, 69229, 71415, 73872, 69260, 69229, 69654, 69715, 69225, 75130, 70073, 69229, 74123, 73872, 74708]"
1,145732,0,"[74577, 74155, 73982]","[86199, 73381, 76314, 69229, 69229, 75847, 69265, 88229]","[69229, 69260, 71415, 69265, 69654, 69265, 74708, 70865, 69251]","[69229, 69229, 69229, 69225, 69654, 69715, 73381, 69229, 69225, 75130, 70073, 70073, 69265, 69229, 73872, 69265, 74155, 69608, 69229, 74708, 69566, 69207, 70865, 69251]"
1,145868,0,"[75099, 69211, 69623, 69229]","[75099, 88229, 73872, 70578, 69996, 73872, 73872, 73872, 73712, 88229]","[70237, 70061, 74670, 69765, 71309, 69584]","[70577, 73872, 88877, 75017, 71309, 73872, 73872, 74478, 73872, 76591, 73872, 74478, 73872, 73872, 69608, 69608, 73657, 71684, 76591, 73872, 73515, 73872, 74478, 73872, 73872, 69624, 69584]"
1,146041,0,"[70578, 70319]","[69218, 88229, 75396, 69715, 69654, 70319, 70179, 70319, 75396, 74640, 74064, 70254, 88229]","[70020, 69765, 76166, 69260, 71415, 69654]","[70577, 73872, 70988, 69328, 69260, 73872, 71415, 70577, 70577, 69654, 69715, 73872, 69328, 70179, 69715, 70182, 70183, 69715, 69715, 70073, 70073, 70205, 74228, 76591, 69745, 75966, 69229, 69260, 72309, 69260]"
