line,recipe id,hits,title,story,ingredients,steps
1,142583,0,"[69619, 69625]","[69625, 73872, 90228, 69619, 73872, 69584, 69267, 69265, 72951, 70429, 69265, 69566, 72571, 72999, 88229]","[70589, 69619]","[69619, 70589, 73872, 75050, 75396, 73872, 69584, 69225, 69584, 73872, 69625, 69584, 69623, 69625, 70429, 69265, 72951, 90198, 69586, 70020, 69265, 87882, 69619, 70589, 69619, 70589]"
1,142624,0,"[69707, 69586, 69625]","[69519, 69619, 69625, 75396, 73810, 69625, 88229, 90204, 70589, 73872, 73712, 69625, 69625, 69619, 70254, 70127, 70254, 69342, 90204, 70589, 88229]","[90204, 70589, 69707, 73712]","[69328, 70577, 73872, 69609, 69625, 69584, 69342, 69228, 69625, 69625, 69625, 69619, 69707]"
1,142977,0,"[71317, 69288]","[69288, 88229, 69288, 88229, 69288, 69198, 69534, 70020, 70020, 69333, 75396, 70522, 69265, 69265, 69288, 69288, 69267, 69265, 88229]","[71317, 70522, 69265, 72050, 70904, 73907]","[70904, 73872, 73907, 70522, 69265, 71317, 73872, 70020, 72050, 71309, 73872, 91308, 71309, 71631, 73907, 73872, 70904, 69288, 69608, 72783, 73872, 73657, 69228, 91308, 69226]"
1,143054,0,"[69584, 73872, 73712, 70387, 72309]","[91308, 70387, 72309, 70578, 90228, 72798, 70237, 73872, 72309, 72798, 70387, 70387, 89913, 70387, 88229]","[72798, 69229, 70020, 70061, 69765, 70387, 74708, 73712, 71415, 71309]","[70577, 73872, 73872, 70988, 69226, 73381, 70387, 75741, 73381, 73872, 73381, 70387, 70577, 73872, 70988, 70864, 74708, 73872, 73712, 70387, 75017, 72622, 75253, 70387, 69228, 91308, 69226, 73872, 88877, 74708, 70904, 73872, 73712, 69609, 72309, 70578, 70127]"
1,143064,0,"[69929, 73872, 69842, 85981]","[69410, 69929, 73872, 69842, 70578, 73872, 69880, 75789, 73872, 69842, 91308, 69842, 69410, 69929, 69842, 69880, 69654, 70577, 72622, 69842, 69410, 88229]","[70589, 69842, 75789, 69260, 71309, 71969, 71669, 69265]","[69929, 71309, 73872, 74640, 73872, 73381, 69842, 75741, 71669, 69265, 73872, 71969, 73872, 74640, 69260, 69929, 73872, 69929, 70589, 69842, 73381, 69880, 70577, 73872, 69228, 73921, 72742, 75396, 91308, 69226]"
1,143235,0,"[69265, 73872, 70387, 69410]","[74060, 73872, 74577, 70387, 69410, 90228, 69265, 69342, 69584, 73872, 70387, 69410, 74577, 69680, 71669, 69654, 88229]","[72798, 70061, 70387, 69260]","[69260, 73872, 70387, 69856, 69880, 72798, 73872, 90228, 69880, 73872]"
1,143544,0,"[70257, 88877, 69260, 73872, 69342]","[88229, 70257, 88877, 69260, 73872, 69342, 73872, 69226, 73872, 73337, 75621, 69948, 88877, 69274, 73872, 89497, 70578, 73872, 88229]","[87882, 70020, 69265, 69566, 70061, 69842, 71684, 73712, 71415, 71309, 69274, 73907, 89497]","[70179, 73337, 69584, 88229, 73872, 70020, 88229, 69226, 70020, 70061, 70577, 69328, 73719, 71309, 70577, 70577, 73872, 75017, 89497, 73872, 69274, 73337, 69228, 69226, 73872]"
1,143605,0,"[70578, 73872, 69288]","[69288, 71684, 73872, 88229, 88229]","[69265, 72798, 71684, 69765]","[73809, 73872, 70020, 69265, 73872, 69765, 69328, 73809, 73872, 71684, 74478, 69584, 73872, 69228, 72783, 72951, 86088, 69586, 75396, 72951, 69288, 73872, 71684]"
1,143618,0,"[74036, 73872, 69842, 69410]","[73636, 70254, 70127, 76283, 70589, 69342, 88229]","[70589, 69260, 72050, 69265, 69842, 75396, 74036, 69586, 70865, 73872, 72783, 69265]","[69265, 72050, 69260, 73872, 70589, 73872, 69609, 69842, 73872, 71415, 72622, 73872, 69228, 69226, 73872, 69228, 73872, 69609, 73872, 69265, 69586, 70865, 73872, 70405, 70865, 74036, 73872, 70405, 70865, 69410]"
1,143764,0,"[70578, 69584, 73872, 70387, 69410, 74640]","[70578, 73872, 69323, 69584, 73872, 70387, 69410, 74577, 70578, 69968, 76171, 69198, 74132, 74640, 86199, 75396, 69880, 73921, 72742, 88229]","[70589, 69260, 70387]","[69260, 73872, 70387, 69856, 70577, 73872, 70589, 75017, 76591, 73872, 73872, 74640, 70589, 75396, 72798, 73872, 73440, 70061, 75396, 69566, 71415]"
