line,recipe id,hits,title,story,ingredients,steps
1,188294,0,"[69817, 73872, 69614, 76595]","[69817, 91308, 70578, 76595, 69817, 69817, 73872, 72386, 69614, 72081, 69614, 72081, 76603, 69609, 69614, 69817, 75396, 88229]","[69817, 69614, 69827, 69654, 69765, 90197, 71684, 72386]","[69609, 69817, 73872, 69614, 76603, 69817, 71309, 70183, 70183, 73872, 69225, 69584, 69715, 73872, 69827, 69614, 73872, 72081, 69614, 72081, 69817, 73872, 73656, 69817, 69654, 73872, 72386, 72386, 69817, 90197, 73872, 69654, 73872, 72386]"
1,332539,0,"[71906, 70866, 73212, 69614, 69396]",[],"[71906, 70866, 73212, 72658, 70866, 71669, 69671, 69265, 69737, 90198, 72000, 69765, 90197, 71598, 73381, 69614, 71965]","[69228, 71598, 76591, 69396, 69614, 73872, 71965, 71965, 71309, 69226, 69226, 71598, 69328, 72658, 70866, 71669, 69671, 69265, 69737, 90198, 72000, 69765, 90197, 70577, 69226, 69389, 73872, 69396, 73872, 69396, 71906, 70866, 73212, 69226, 73212]"
1,332580,0,"[70503, 69556, 72791]",[],"[69654, 71434, 71640, 69386, 71640, 73446, 70503, 71969, 90197, 72791, 71370, 70470, 74122]","[69228, 74325, 69654, 69225, 71434, 69386, 73872, 73446, 69225, 73872, 70503, 71969, 73872, 90197, 72791, 73872, 73337, 69654, 73872, 71370, 69228, 69324, 70470, 74122]"
1,333724,0,"[69311, 69842, 70168, 69207]",[],"[70859, 69765, 75143, 73446, 73381, 69842, 70168, 70116, 73844, 69207, 73872, 71309, 69232, 73381, 86088, 69311, 69384]","[69584, 69842, 86088, 69311, 72366, 73872, 70116, 71803, 69396, 73872, 69614, 69842, 74499, 69765, 73872, 70168, 69225, 73446, 72590]"
1,333846,0,"[69613, 69211, 70034]",,"[72552, 69613, 72667, 69584, 69265, 71309, 74916, 70034, 71723, 70429, 69613]","[72742, 74922, 69311, 73872, 74916, 69311, 69715, 69225, 69584, 72667, 69265, 74155, 69311, 73872, 76188, 71309, 73872, 69207, 69225, 69613]"
1,334058,0,"[70272, 73810, 70545, 69342, 69260, 69586]","[70272, 89949, 73872, 69495, 69386, 73872, 69234, 74734, 70940, 89951, 73872, 88229, 70272, 73872, 70940, 69234, 86089, 73872, 69396, 69311, 69519, 71467, 69330, 69232, 69971, 69241, 70029]","[69495, 75741, 69386, 71640, 69232, 69395, 69234, 69971, 69330, 69234, 74734, 71684, 69765, 90197, 70545, 69510, 87882, 70020, 69765, 74670, 69265, 76154, 69654, 71309]","[69715, 69386, 73872, 69495, 69534, 69765, 90197, 73872, 74734, 75130, 72589, 71309, 69715, 70073, 69232, 69715, 73872, 69225, 69225, 69715, 69226, 73872, 70545, 69609, 69654, 71309, 69510, 71309, 75741, 73872, 69609, 69608, 73657, 73872, 69226, 70545, 69226, 71309, 69495, 70522, 73872, 70545, 69519, 69207, 70254, 69649]"
1,334141,0,"[69630, 69396]",,"[69396, 69609, 70439, 69386, 70904, 69842, 75564, 71434, 69708]","[74916, 69396, 70034, 73872, 73381, 69386, 73872, 71434, 69396, 70073, 69386, 73872, 71434, 69228, 69396, 73872, 70904, 69842, 75564, 69708, 73381, 71669, 73872, 75564, 73872, 70904, 73679, 70034, 73872, 88877, 74916, 74325, 73872, 69226]"
1,334437,0,"[70578, 70626]",[88229],"[71598, 69260, 69230, 70751, 72091, 69765, 72658, 70866, 90198, 69827]","[69609, 71598, 73872, 75741, 70577, 69260, 69827, 69765, 73872, 70866, 69230, 70751, 73872, 69230, 71598, 73872, 69816, 70073, 69260, 69230, 73872, 69715, 72091, 71598, 69584, 72589, 71598, 73872, 70073]"
1,334553,0,[72184],"[88510, 75396, 72589, 73317, 69529, 69201, 72126, 69201, 73872, 69527, 69529, 88229]","[69386, 72184, 70589, 69260, 69343, 71684, 69654, 76154, 73446, 75143]","[69228, 70577, 73945, 69228, 69226, 71965, 75396, 72589, 73317]"
1,334815,0,"[70794, 69267, 73872, 72667]","[70794, 70794, 70578, 88229, 73624]","[72667, 69827, 70794, 70794, 69396, 69267, 74303, 71723, 71723]","[72667, 73872, 69827, 72000, 70794, 70794, 73872, 72651, 69396, 74303, 71723, 73872, 71723, 73872, 73779, 74303, 70794, 70794]"
