line,recipe id,hits,title,story,ingredients,steps
1,197407,0,"[93692, 69315, 72112, 70092]","[70092, 69315, 72112, 69229, 69228, 70578, 88229, 70578]","[71640, 70091, 69493, 72112, 71309, 69765, 69493, 70020, 75581]","[69493, 73872, 72112, 71309, 69765, 73872, 70020, 90228, 70020, 69338, 73657, 69228, 72589, 90228, 73872, 69228, 88877]"
1,333671,0,"[69917, 73289, 89962]",[],"[69734, 69330, 73872, 90186, 70963, 69649, 69508, 73872, 69208, 69909, 69608, 69609, 69386]","[69610, 69734, 69225, 69734, 71817, 72037, 74640, 73872, 90186, 69208, 70866, 69649, 69623, 69386, 69330, 70056, 69649, 69909, 69207, 69609, 73381, 69734, 73872, 69623, 69386, 89962]"
1,333928,0,"[73656, 69348, 69207, 75778]",[],"[69260, 69348, 69241, 69604, 70454, 69609, 70238, 70238, 69584, 93779, 69207, 71723, 69207, 70582, 70116, 71309, 73583, 69827, 73872, 76091]","[69715, 69584, 73583, 69827, 73872, 76091, 70238, 73872, 70454, 93777, 69241, 71309, 70116, 71803, 69348, 73872, 69207, 73872, 69225, 69604, 73872, 72590]"
1,333989,0,"[72589, 69384, 73872, 69343, 69316]",[],"[69384, 73381, 69316, 69384, 69316, 69896, 69343, 69384, 73381, 69827, 69386, 69765, 90197, 71877, 69316]","[69225, 73064, 75130, 69715, 69225, 70179, 69384, 73381, 73064, 73872, 69827, 69386, 90197, 73872, 69765, 73872, 70115, 69343, 73381, 69384, 73381, 71877, 74640, 73872, 70405, 73015, 69343, 90186, 73381, 73872]"
1,334437,0,"[70578, 70626]",[88229],"[71598, 69260, 69230, 70751, 72091, 69765, 72658, 70866, 90198, 69827]","[69609, 71598, 73872, 75741, 70577, 69260, 69827, 69765, 73872, 70866, 69230, 70751, 73872, 69230, 71598, 73872, 69816, 70073, 69260, 69230, 73872, 69715, 72091, 71598, 69584, 72589, 71598, 73872, 70073]"
1,334775,0,[72752],[],"[69316, 70205, 74090, 70302, 70405, 69652, 75396, 71633, 75966, 69371, 69396, 69652, 69652, 71598, 73872, 73703, 71633, 75966, 69371, 69229]","[72752, 70578, 73872, 69315, 73872, 70254, 75396, 90228, 69396, 69652, 73703, 71598, 69652, 69765, 73872, 90197, 73872, 71633, 73381, 69229, 70405, 70205, 75396, 71633, 70302, 69316, 73381, 69229, 73872, 73872, 69316, 73872, 70158, 76603, 69316, 75396, 72742, 72752, 75396, 69911, 70941, 75396, 69911, 69229, 70250]"
1,335280,0,"[71662, 69447, 69835]",,"[69896, 73872, 69577, 69343, 71662, 71725, 86199, 69575, 69447, 72050, 70094, 69836, 74122, 73918]","[69584, 69715, 69447, 69715, 70405, 70094, 69343, 73872, 69343, 69225]"
1,335288,0,"[76095, 69316]",[],"[69195, 69229, 71669, 69384, 72557, 72966, 72766, 90197, 70938, 69575, 71021, 72452, 70948, 70465, 69765, 73872, 90197]","[73381, 69229, 69316, 70073, 69384, 72557, 72966, 73381, 69343, 69548, 70073, 90197, 70073, 71021, 70073, 73872, 90197, 70073, 69288, 73872, 69228, 69226, 76591, 69229, 69229, 75847, 69226, 73872, 69609, 70056, 69765, 73872, 90197, 75396, 69232, 73872]"
1,335314,0,"[73791, 69520, 70543, 73872, 71370, 74392, 88750, 75276]","[69380, 69315, 73872]","[70543, 86088, 70570, 71640, 69386, 71640, 69827, 71640, 71555, 71640, 69484, 71370, 71640, 69575, 73791, 86088, 93779, 90197]","[75130, 70543, 72081, 73872, 90228, 69584, 69715, 70179, 86088, 69817, 69489, 75130, 69386, 70543, 70179, 86088, 69817, 75130, 69386, 69584, 69827, 71555, 73872, 71370, 73872, 69575, 73791, 73872, 90197, 69575, 75396, 71309, 73872, 69715, 71817, 71470, 70543, 69817, 73872, 72589, 69911]"
1,335315,0,"[69764, 73872, 69986, 70557, 69348, 69249]",[],"[74122, 74496, 69764, 73872, 69633, 69986, 69764, 69986, 73827, 73919, 69584, 69348, 69623, 75778, 90204, 69348, 70557]","[70557, 90204, 69348, 69248, 71309, 71803, 70557, 73872, 71817, 69225, 73872, 69764, 73872, 69633, 69986, 69986, 73827, 73872, 73919, 72050, 73872, 69228, 69764, 73872, 69764, 73872, 69633, 69986, 74496, 70557, 69348, 69249, 73872]"
1,336064,0,[69334],,"[69584, 69827, 90198, 69386, 69396, 75620, 69277, 69334, 69765, 90197, 72147, 71725, 75971, 72008]","[69225, 69248, 69584, 69386, 69827, 69534, 69765, 73872, 90197, 69277, 69248, 69396, 69606, 69334, 72147, 71803, 73872, 69225, 69225, 69225]"
1,336344,0,"[74295, 69316]",[],"[70330, 71219, 73872, 69384, 71219, 69575, 70465, 69911, 69652, 69343, 69614, 69609]","[69623, 69614, 70405, 69652, 69911, 69343, 73381, 70330, 73381, 69384, 69614, 73381, 69575, 73872, 70465, 69911, 69652, 70073, 69911, 69316, 73872, 69911]"
