line,recipe id,hits,title,story,ingredients,steps
1,142484,0,[69473],"[69283, 88229, 73872, 75396, 69410, 75396, 69410, 73317, 73515, 88229]","[74228, 76166, 69260, 70020, 70865, 71969, 69654, 70179]","[74228, 70577, 75017, 69265, 73872, 69260, 73872, 70988, 70020, 73872, 70865, 73872, 71969, 73872, 88510, 69228, 91308, 69226, 69410, 73921, 69902, 69722, 73872, 69288, 69288, 73872, 69654, 75047, 69288, 73872, 69654, 70405, 75017, 73872, 70110]"
1,142506,0,"[69510, 69288]","[88229, 72798, 73872, 69267, 74303, 71309, 88229]","[71227, 69260, 72798, 69510, 74303, 89497, 73907]","[70020, 73872, 69260, 73907, 70405, 76591, 71578, 74640, 69654, 73872, 70988, 69265, 69260, 70020, 69510, 89497, 73872, 73907, 75017, 73657, 72622, 73872, 69228]"
1,142518,0,"[69473, 69343]","[74228, 69473, 69343, 69343, 69473, 74228, 69856, 75396, 70020, 74302, 73712, 71415, 69265, 73872, 71640, 69343, 69248, 69343, 73381, 88229]","[69343, 73712, 71415, 70020, 74302, 69265, 69650, 69654, 76154, 70353, 70352, 69265, 71969]","[69328, 73872, 69609, 69343, 69650, 71803, 71309, 75966, 69410, 72622, 69328, 73872, 73712, 71415, 69248, 73872, 70988, 73712, 69343, 73872, 69265, 69225, 73872, 70988, 71470, 69225, 69343, 69225, 69856, 75396, 73712, 71415, 69265, 73872, 71640, 69343, 69248, 69343, 69650, 73872, 69654, 73872, 69226, 69265, 70352, 73872, 91308, 70042, 70353, 71969, 70353, 69248, 73872, 70042, 70577, 70353, 73872, 75017, 70577, 69248, 70577, 70353, 73872, 88877, 69410, 73872, 69226, 72589, 71309, 75966, 69228, 71965, 69948, 69228, 73872, 70110, 73515, 70056, 70205, 71309, 69343, 73381]"
1,142520,0,"[70578, 73025, 71543, 69473, 69856]","[71543, 69473, 69856, 75396, 73999, 88229]","[73025, 74228, 70168, 69265, 69650, 71415, 71374]","[73025, 74228, 71374, 72783, 71309, 73872, 71415, 69715, 73872, 69225, 71803, 69225, 71374, 73872, 73025, 74228, 69265, 69650, 70168, 73872, 69856, 73872, 73872, 73872, 70110, 73872, 75240, 70056, 69266, 73025, 69207, 73025, 73025, 69207, 73025, 72783, 76166, 73872, 73440, 71969, 69715, 73872, 71817, 69225]"
1,142522,0,"[72951, 86088, 69586, 69269]","[69267, 72951, 69269, 73810, 70578, 71669, 88229]","[72951, 71669, 72951]","[74640, 71669, 88510, 72951, 71669, 73872, 75396, 69207, 69715, 88877, 74640, 72951, 73872, 71906, 72951, 73872, 71669, 69609, 72951]"
1,142531,0,"[72742, 70578, 75712]","[70988, 69226, 88229]","[72798, 70061, 69654, 69260, 76166, 71669, 71969, 74798]","[72798, 73872, 70061, 69654, 69328, 69260, 76166, 71669, 71969, 73872, 69909, 70577, 73872, 69654, 70110, 73515, 69226, 73317, 70988, 69225, 69226, 69228]"
1,142532,0,"[72742, 70578, 69410]","[69267, 69680, 73872, 73999, 75396, 69566, 75328, 88229]","[72798, 70061, 69265, 69654, 69260, 86098, 69566, 69265, 72589, 71309, 75328, 75328, 69265, 72589, 71309]","[70179, 69715, 69584, 69654, 73872, 72622, 69715, 69410, 69328, 69566, 69226, 70020, 70061, 73872, 69265, 73999, 73872, 69654, 73872, 69260, 73872, 86098, 69566, 69715, 69228, 69226, 73872, 75328, 69410]"
1,142539,0,"[72044, 86081]","[69519, 69218, 69218, 72044, 73872, 86081, 75396, 72044, 69857, 72044, 73999, 75396, 70327, 69502, 86081, 75396, 88229]","[72044, 86081, 72044, 69857, 76166, 71374, 71309, 71969, 72044, 86081, 71309, 76166, 71374, 71309, 71969, 70327, 69267, 70470, 73381, 72047]","[71374, 71309, 69609, 72044, 73872, 72044, 72044, 86081, 69265, 72044, 69857, 73872, 70988, 71374, 74640, 73872, 69929, 70183, 69857, 71969, 73872, 70577, 91308, 86081, 71470, 72044, 72008, 73872, 73872, 70110, 73872, 73515, 86081, 71309, 73872, 69265, 69248, 73872, 69225, 71803, 69225, 73872, 71374, 71969, 73872, 69248, 91308, 71470, 71470, 70327, 73872, 73872, 70110, 73872, 73515, 75764, 70327, 86081, 73872, 72044, 86081, 70470, 73381, 86081, 73872, 72047, 75396, 69218, 70865, 70470, 73381]"
1,142547,0,"[75789, 69913]","[75789, 69913, 73872, 88229, 69929, 69719, 72783, 69719, 72783, 69929, 69410, 91308, 88229, 70353, 88229]","[69260, 72798, 69265, 75789, 69929, 71309, 75789, 69929, 71684]","[69929, 73872, 71309, 74640, 73872, 75966, 69929, 69226, 75764, 69929, 69856, 74308, 70020, 70182, 69929, 69929, 72783, 69929, 69719, 72783, 69929, 73872, 72783, 69929, 69719, 70352, 73872, 69650, 70352, 70577, 73872, 69265, 73872, 69265, 73872, 69265, 70577, 73872, 70353, 69680, 70577, 70988, 69650, 69265, 73872, 69584, 73872, 70988, 75789, 69650, 73872, 69328, 70020, 73872, 90198, 69929, 70988, 70353, 73872, 70988, 75017, 70353, 73872, 70577, 70353, 73872, 70353, 69913, 69715, 69228, 69226, 69228, 73872]"
1,142563,0,"[74708, 69410]","[74708, 69228, 69410, 88229, 88877, 70061, 70061, 69410, 69260, 72589, 71309, 69328, 88229]","[69260, 74708, 71684, 72798, 74302, 70061]","[69260, 70577, 73872, 70988, 70577, 72589, 71309, 74708, 73872, 75741, 69328, 73872, 70577, 71684, 73872, 69410, 72622, 69228, 69226, 69410, 72232, 69228, 73872, 70198, 72622, 69410, 70061, 76591, 74577, 74060, 70110, 74073, 74708, 69410, 70061]"
