line,recipe id,hits,title,story,ingredients,steps
1,1901363,1,"[71876, 73872, 70034, 72665]",[],"[70439, 71876, 69842, 69241, 69633, 86088, 69267, 90197, 69827, 69633, 69495, 69986, 69666, 73872, 69555, 71640, 69386, 72665, 69765, 73872, 90197]","[70040, 72665, 73872, 70182, 72008, 70029]"
1,1901174,1,[70801],[],"[93777, 72140, 76104, 69827, 91308, 69386, 90197, 69765, 71969, 71309, 73918]","[69388, 93777, 72140, 69827, 69575, 73872, 69386, 73657, 69388, 73872, 73872, 70073, 93777, 72140, 73872, 73657, 69388, 69226, 73872, 73918, 69856, 73440, 90197, 73440, 69765, 72008, 70470, 73872, 71309, 93777, 72140, 69386, 69827, 69575, 69609, 73872, 70859, 69856]"
1,1779522,1,"[73191, 69510, 71120, 70577, 69380, 74392, 88750, 75276]","[71120, 70577, 73872, 71120, 75741, 70577, 73872, 69251, 70168]","[69510, 73191, 73025, 71640, 74122, 70387, 71640, 70186, 74708, 71669, 73915, 86098]","[69510, 70577, 71309, 73872, 73872, 70183, 73872, 69856, 73191, 74122, 73025, 70387, 70186, 74073, 71669, 73872, 73267, 69857, 70577, 73872, 73191, 73872, 73025, 69909, 75396, 69274]"
1,1899857,1,"[69232, 69380]","[88229, 89949, 70254]","[69371, 73703, 75281, 69495, 72091, 71640, 69386, 69827, 90198, 69371, 70330, 88758, 73872, 72174, 69260, 69765, 75143, 70330, 69614, 73703, 70938]","[69228, 75253, 75993, 75281, 73872, 73872, 70073, 74325, 69225, 69584, 69386, 69827, 73872, 69330, 69225, 69225, 73872, 72174, 70577, 69260, 69765, 73872, 90197, 69330, 69614, 73872, 69343, 69228, 69260]"
1,1901046,1,"[69835, 69235]",[],"[69371, 70049, 69727, 73625, 69343, 72966, 73381, 73381, 90198, 69386, 75897, 69765, 73872, 90197, 70483, 70020, 75993]","[72742, 73872, 69225, 69226, 69234, 69633, 73872, 73872, 72008, 69234, 73872, 69234, 70020, 70577, 69343, 73872, 72966, 69234, 73872, 69715, 73872, 69835, 70405, 69343, 73381, 73872, 72966, 73872, 72783, 69727, 73872, 70818, 90228, 70073, 69715, 69228, 70681, 69654, 69226]"
1,1852212,1,"[69241, 69249]","[88510, 70578, 69323]","[69986, 69495, 71834, 73766, 71434, 69827, 73351, 69765, 90197]","[70198, 73872, 73381, 69715, 71309, 73872, 71803, 71309, 69765, 73872, 90197, 69765, 69249, 69856]"
1,1887106,1,[],"[73872, 73872, 69680, 89951]","[69986, 75501, 71415, 69827, 73665, 71640, 69386, 71848, 69576, 70751, 73569, 71555, 76053, 69827, 69765, 71171, 72766, 70618, 69343]","[71803, 69986, 73872, 71803, 69225, 73872, 69225, 73665, 71415, 69386, 73872, 69827, 69241, 73872, 73317, 71309, 69241, 73665, 69386, 73872, 69827, 69857, 69248, 73872, 69225, 69225, 75396, 69225, 71803, 69249, 72766, 69225, 69343, 71848, 69576, 70751, 73569, 76053, 71555, 73872, 69765, 73703, 70618, 73872]"
1,1899864,1,"[72301, 69614, 93375, 75281]","[88229, 73810]","[69614, 69260, 70865, 74228, 73703, 69548, 73872, 69896, 69343, 70618, 69343, 69604, 71171, 71626, 90197, 73872, 75143, 72301, 73872, 71640, 71227, 69371, 73703, 75281, 69495]","[69228, 74325, 69614, 70179, 70988, 69260, 70865, 73703, 70618, 69604, 69765, 71626, 73872, 75143, 72301, 73872, 69614, 74325, 69654, 69614, 70179, 75281, 70073, 69534, 69765, 73872, 90197, 69225, 69343, 69495, 69260, 69343, 69228]"
1,1900940,1,"[70578, 69267, 69929]",[],"[71309, 69929, 69265, 70470]","[71309, 71803, 69225, 73872, 69929, 69265, 69929, 73872, 69929, 71309]"
1,1900885,1,"[69429, 74977, 69893]",[],"[74977, 69893, 69584, 72423, 69207, 72145, 74288, 90198, 69827, 75897]","[69328, 69462, 69893, 70115, 69783, 69429, 69893, 69429, 69893, 70115, 69429, 73872, 70074, 69384, 73872, 70483, 69896, 69343]"
